,race_year_id,event,race,country,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,country_code,year,month,day,frequency_in_ranking,equivalent_distance,weighted_elevation
1164,2914,HEADLANDS HUNDRED,HEADLANDS HUNDRED 100 MILE ENDURANCE RUN,United States,solo,161.0,6120.0,-6120.0,0,18,USA,2012,08,04,18,222.2,0.27542754275427545
1165,2694,Burning River Endurance Run,100 Mile,United States,solo,161.0,2470.0,-2350.0,0,199,USA,2012,07,28,199,185.7,0.13301023155627356
1166,3240,ADAMELLO TRAIL,ADAMELLO SUPER TRAIL,Italy,solo,160.0,9100.0,-8180.0,0,19,ITA,2012,07,27,19,251.0,0.36254980079681276
1167,2903,Chiemgauer 100,100 Mile,Germany,solo,160.0,7500.0,-7500.0,0,10,DEU,2012,07,27,10,235.0,0.3191489361702128
1168,2906,LAKELAND,LAKELAND 100,United Kingdom,solo,161.0,6300.0,-6300.0,0,136,GBR,2012,07,26,136,224.0,0.28125
1169,2696,Angeles Crest 100 Mile Endurance Run,Angeles Crest 100 Mile Endurance Run,United States,solo,160.8,6350.0,-7770.0,0,75,USA,2012,07,21,75,224.3,0.2831029870708872
1170,2905,STUNT 100,STUNT 100,Germany,solo,161.5,3860.0,-3860.0,0,21,DEU,2012,07,21,21,200.1,0.19290354822588707
1171,3245,Vermont 100 Endurance Race,100M,United States,solo,161.0,4290.0,-4290.0,0,218,USA,2012,07,21,218,203.9,0.21039725355566452
1172,3804,OSJ Ontake Ultra-Trail®?,100 Miles,Japan,solo,155.0,4200.0,-4200.0,0,38,JPN,2012,07,15,38,197.0,0.2131979695431472
1173,2616,Ehunmilak Ultra-Trail®,Ehunmilak Ultra-Trail®,Spain,solo,168.0,11000.0,-11000.0,0,112,ESP,2012,07,13,112,278.0,0.39568345323741005
1174,2916,HARDROCK 100 ENDURANCE RUN,HARDROCK 100,United States,solo,161.8,10365.0,-10365.0,0,98,USA,2012,07,13,98,265.45000000000005,0.39046901488039176
1175,4763,Andorra Ultra Trail Vallnord,ANDORRA RONDA DELS CIMS,Andorra,solo,170.0,11000.0,-11000.0,0,99,AND,2012,07,06,99,280.0,0.39285714285714285
1176,3379,TRANSJURA,TRANSJURA - BASIC,Poland,solo,170.0,3500.0,-3500.0,0,75,POL,2012,07,06,75,205.0,0.17073170731707318
1177,2664,Centurion South Downs Way 100,Centurion South Downs Way 100,United Kingdom,solo,161.0,4000.0,-4000.0,0,117,GBR,2012,06,30,117,201.0,0.19900497512437812
1178,2555,BLACK HILLS 100,BLACK HILLS 100 - 100 MILES,United States,solo,161.0,4950.0,-4950.0,0,38,USA,2012,06,23,38,210.5,0.23515439429928742
1179,3243,Ultra-Trail South West,100 Miles,United Kingdom,solo,155.0,5466.0,-5466.0,0,48,GBR,2012,06,23,48,209.66,0.26070781264905085
1180,2915,Western States Endurance Run,Western States Endurance Run,United States,solo,161.0,5510.0,-7000.0,0,317,USA,2012,06,23,317,216.1,0.25497454881999077
